足|あし|foot, leg
踵|かかと|heel
脛|すね|shin
膝|ひざ|knee
腿|もも|thigh
頭|あたま|head
顔|かお|face
口|くち|mouth
唇|くちびる|lips
歯|は|tooth
鼻|はな|nose
目|め|eye
髭|ひげ|moustache, beard
髪|かみ|hair
耳|みみ|ear
胃|い|stomach
腕|うで|arm
肘|ひじ|elbow
肩|かた|shoulder
爪|つめ|nail
手|て|hand
手首|てくび|wrist
手の平|てのひら|palm of hand
指|ゆび|finger, toe
尻|しり|buttocks
お腹|おなか|abdomen
肝臓|かんぞう|liver
肝|きも|liver
筋肉|きんにく|muscle
首|くび|neck
心|こころ|heart [as in feelings]
腰|こし|waist, hip
心臓|しんぞう|heart
背中|せなか|back
血|ち|blood
肉|にく|meat
肌|はだ|膚,skin
皮膚|ひふ|skin
骨|ほね|bone
胸|むね|chest
風邪|かぜ|cold [illness]
下痢|げり|diarrhea
病気|びょうき|illness
