卵泡立て器|たまごあわだてき|egg beater
卵胞|らんぽう|(ovarian) follicle
卵胞|らんほう|(ovarian) follicle
嵐|あらし|storm; tempest
嵐|あらし|difficulty; trouble
欄|らん|column of text (e.g. in a newspaper)
欄|らん|field (in a form, web page, etc.)
欄外|らんがい|margin
欄干|らんかん|guardrail; handrail; bannister; balustrade; parapet
欄干|らんかん|(a person) shining like the stars or moon; (a person) crying endlessly
闌干|らんかん|guardrail; handrail; bannister; balustrade; parapet
闌干|らんかん|(a person) shining like the stars or moon; (a person) crying endlessly
欄杆|らんかん|guardrail; handrail; bannister; balustrade; parapet
欄参照|らんさんしょう|column reference; see column below
藍|あい|dyer's knotweed (Persicaria tinctoria, used to produce indigo dye)
藍|あい|indigo (dye)
藍|あい|indigo (colour)
アイ||dyer's knotweed (Persicaria tinctoria, used to produce indigo dye)
アイ||indigo (dye)
アイ||indigo (colour)
藍色|あいいろ|indigo blue
藍藻|らんそう|blue-green algae; cyanobacteria
蘭|らん|orchid
蘭|らん|Holland; The Netherlands
ラン||orchid
ラン||Holland; The Netherlands
蘭学|らんがく|Dutch studies; studies of Western knowledge
蘭国|らんこく|Holland
利|り|advantage; benefit; profit; interest
利益|りえき|profit; gains
利益|りえき|benefit; advantage; interest (of the public, etc.)
利益|りやく|profit; gains
利益|りやく|benefit; advantage; interest (of the public, etc.)
利益|りやく|grace (of God, Buddha, etc.) (esp. as attained through rightful actions, prayer, adherence to one's faith, etc.); blessing; miracle
利回り|りまわり|interest; (investment) yield; profits
利害|りがい|advantages and disadvantages; interest
利金|りきん|interest (money)
利権|りけん|interest; rights; concession
利己|りこ|self-interest
利己的|りこてき|selfish; egoistic; self-serving; self-interested
利口|りこう|clever; intelligent; wise; bright; sharp; sensible; smart; shrewd
利口|りこう|well-behaved (of kids, animals, etc); obedient; good
利口|りこう|good (with words)
俐巧|りこう|clever; intelligent; wise; bright; sharp; sensible; smart; shrewd
俐巧|りこう|well-behaved (of kids, animals, etc); obedient; good
俐巧|りこう|good (with words)
悧巧|りこう|clever; intelligent; wise; bright; sharp; sensible; smart; shrewd
悧巧|りこう|well-behaved (of kids, animals, etc); obedient; good
悧巧|りこう|good (with words)
利巧|りこう|clever; intelligent; wise; bright; sharp; sensible; smart; shrewd
利巧|りこう|well-behaved (of kids, animals, etc); obedient; good
利巧|りこう|good (with words)
利子|りし|interest (bank)
利子補給|りしほきゅう|subsidized interest payments; subsidised interest payments
利潤|りじゅん|profit; returns
利殖|りしょく|money-making
利息|りそく|interest (bank)
利他|りた|altruism
利点|りてん|advantage; point in favor; point in favour
利得|りとく|gain; profit; benefit; amplification
利尿|りにょう|diuresis
利払い|りばらい|interest payment
利用|りよう|use; utilization; utilisation; application
利用者|りようしゃ|user; end-user; consumer
利率|りりつ|interest rate
吏|り|government official; public official
吏員|りいん|official
吏臭|りしゅう|officialism; red tape
吏人|りじん|officials
吏党|りとう|party of officials
吏道|りどう|official ethics
吏務|りむ|the work of officials
履き違える|はきちがえる|to put on another's shoes
履き違える|はきちがえる|to be mistaken; to mistake one thing for another
はき違える|はきちがえる|to put on another's shoes
はき違える|はきちがえる|to be mistaken; to mistake one thing for another
履き古し|はきふるし|worn-out shoes; worn-out socks
履き替える|はきかえる|to change (lower-body clothing: shoes, slippers, pants, a skirt, etc.)
履き替える|はきかえる|to put on the wrong pair of shoes by mistake
履きかえる|はきかえる|to change (lower-body clothing: shoes, slippers, pants, a skirt, etc.)
履きかえる|はきかえる|to put on the wrong pair of shoes by mistake
履替える|はきかえる|to change (lower-body clothing: shoes, slippers, pants, a skirt, etc.)
履替える|はきかえる|to put on the wrong pair of shoes by mistake
履行|りこう|performance (of a duty); fulfillment (of a promise); fulfilment; execution (of a contract); discharge; implementation
履修|りしゅう|taking a class; studying a subject; completing a course
履歴|りれき|personal history; background; career
履歴|りれき|log; record
履歴|りれき|hysteresis
履歴書|りれきしょ|personal history; curriculum vitae; resume
李|すもも|Japanese plum (Prunus salicina); Chinese plum
酸桃|すもも|Japanese plum (Prunus salicina); Chinese plum
スモモ||Japanese plum (Prunus salicina); Chinese plum
李下に冠を正さず|りかにかんむりをたださず|leave no room for scandal; don't do anything that can be misinterpreted; don't straighten your cap under a plum tree (because when you raise your hands it might look as if you're trying to steal the plums)
李下に冠を整さず|りかにかんむりをたださず|leave no room for scandal; don't do anything that can be misinterpreted; don't straighten your cap under a plum tree (because when you raise your hands it might look as if you're trying to steal the plums)
梨|なし|nashi (Pyrus pyrifolia, esp. var. culta); Japanese pear; Asian pear; sand pear; apple pear
ナシ||nashi (Pyrus pyrifolia, esp. var. culta); Japanese pear; Asian pear; sand pear; apple pear
梨の礫|なしのつぶて|not getting a reply
梨のつぶて|なしのつぶて|not getting a reply
なしの礫|なしのつぶて|not getting a reply
ナシの礫|ナシのつぶて|not getting a reply
無しのつぶて|なしのつぶて|not getting a reply
無しの礫|なしのつぶて|not getting a reply
梨園|りえん|theatrical world
理化学|りかがく|physics and chemistry
理科|りか|science
理解|りかい|understanding; comprehension; appreciation; sympathy
理学|りがく|physical science; natural science
理学|りがく|physics
理学|りがく|lixue (Song-era Chinese philosophy)
理学|りがく|philosophy
理学部|りがくぶ|department of science
理系|りけい|science
理工|りこう|science and technology
理工学部|りこうがくぶ|department of science and engineering
理事|りじ|director; board of directors
理事長|りじちょう|board chairman
理神|りしん|deism; belief in God as creator of universe
理性|りせい|reason; reasoning power; (one's) sense
理想|りそう|ideal; ideals
理想主義|りそうしゅぎ|idealism
理想的|りそうてき|ideal
理知|りち|intellect; intelligence
理智|りち|intellect; intelligence
理念|りねん|(Platonic) ideal (of how things ought to be, e.g. human rights); foundational principle; idea; conception (e.g. of the university); doctrine; ideology
理髪|りはつ|haircut
理髪師|りはつし|barber
理髪店|りはつてん|barbershop
理非|りひ|judgement of right and wrong (judgment)
理非曲直|りひきょくちょく|the rights and wrongs (of a case)
理不尽|りふじん|unreasonable; irrational; outrageous; absurd
理法|りほう|law
理由|りゆう|reason; pretext; motive
理由|わけ|reason; pretext; motive
理容師|りようし|barber; hairdresser
理論|りろん|theory
理論的には|りろんてきには|theoretically (speaking)
裏|うら|bottom (or another side that is hidden from view); undersurface; opposite side; reverse side
裏|うら|rear; back; behind (the house)
裏|うら|lining; inside
裏|うら|out of sight; behind the scenes; in the shadows
裏|うら|proof
裏|うら|opposite (of a prediction, common sense, etc.)
裏|うら|inverse (of a hypothesis, etc.)
裏|うら|bottom (of an inning); last half (of an inning)
裏囲い|うらがこい|back fence
裏屋|うらや|alley house; rear tenement; slum
裏鬼門|うらきもん|unlucky quarter (southwest)
裏技|うらわざ|secret trick; hidden method; trick of the trade; cheat (in a video game)
裏衿|うらえり|neckband lining
裏襟|うらえり|neckband lining
裏金|うらがね|bribe
裏金|うらがね|secret fund; slush fund; money for bribery
裏口|うらぐち|backdoor; rear entrance
裏口営業|うらぐちえいぎょう|illegal business
裏合わせ|うらあわせ|fitting things back to back; agreement of minds
裏作|うらさく|second crop; interim crop
裏山|うらやま|the hill back of one's home; hill back from the seashore
裏手|うらて|back (esp. of a building, etc.); rear; behind
裏書譲渡|うらがきじょうと|endorsing over to
裏書人|うらがきにん|endorser
裏情|うらなさけ|inner affection
裏声|うらごえ|falsetto
裏切り|うらぎり|treachery; betrayal; perfidy
裏切る|うらぎる|to betray; to turn traitor to; to double-cross
裏切り者|うらぎりもの|betrayer; traitor; turncoat; informer
裏切者|うらぎりもの|betrayer; traitor; turncoat; informer
裏千家|うらせんけ|Urasenke school of tea ceremony
裏側|うらがわ|the reverse; other side; lining
裏打ち|うらうち|lining; backing
裏打ち|うらうち|backing up (e.g. a theory); support; bolstering
裏打ち紙|うらうちがみ|end leaves (of a book); lining paper
裏貸屋|うらがしや|house in back for rent
裏地|うらじ|lining
裏地|うらじ|land that does not adjoin to public or private roads
裏町|うらまち|back street; back alley; slums
裏街|うらまち|back street; back alley; slums
裏長屋|うらながや|rear tenement
裏通り|うらどおり|side street (often parallel to a main street); back street; alley
裏通り|うらとおり|side street (often parallel to a main street); back street; alley
裏通|うらどおり|side street (often parallel to a main street); back street; alley
裏通|うらとおり|side street (often parallel to a main street); back street; alley
裏庭|うらにわ|rear garden; back yard
裏釘|うらくぎ|nail sticking through
裏店|うらだな|house in an alley; rear tenement; slums
裏道|うらみち|back lane; byway; back street
裏道|うらみち|unfair means; dishonest means
裏背戸|うらせど|back door
裏板|うらいた|roof boards; ceiling
裏板|うらいた|back board (furniture)
裏表|うらおもて|back and front; inside and outside; both sides
裏表|うらおもて|inside out (e.g. clothing)
裏表|うらおもて|double-dealing; two faces (c.f. two-faced)
裏表|うらおもて|outward appearance and actual condition; inner workings
裏表紙|うらびょうし|back cover
裏付き|うらづき|lined; something lined
裏づける|うらづける|to support; to endorse; to substantiate
裏付ける|うらづける|to support; to endorse; to substantiate
裏付け物資|うらづけぶっし|collateral goods
裏腹|うらはら|opposite; reverse; contrary
裏返し|うらがえし|inside out; upside down
裏返し|うらがえし|flip side; opposite; contrary; reverse
裏返す|うらがえす|to turn inside out; to turn the other way; to turn (something) over
裏返る|うらがえる|to be turned inside out
裏返る|うらがえる|to betray; to double-cross
