無限軌道|むげんきどう|continuous track; caterpillar track
無効投票|むこうとうひょう|spoilt (invalid) vote
無差別級|むさべつきゅう|open-weight (unclassified) division (category)
無水鍋|むすいなべ|pan which can be used without water
無線技師|むせんぎし|radio (wireless) operator; radioman
無法地帯|むほうちたい|lawless area; lawless district
無礼者|ぶれいもの|insolent fellow; rude fellow
名人戦|めいじんせん|professional go players' championship series; professional shogi players' championship series
名誉会員|めいよかいいん|honorary member
名誉会長|めいよかいちょう|honorary president
命題関数|めいだいかんすう|propositional (sentential) function
命中率|めいちゅうりつ|accuracy rate
命名法|めいめいほう|nomenclature
明細表|めいさいひょう|itemized account; itemised account
明治天皇|めいじてんのう|Emperor Meiji (1852-1912, reigned 1867-1912); Emperor Mutsuhito
迷彩服|めいさいふく|camouflaged clothes
免許制|めんきょせい|license system; licence system
面会室|めんかいしつ|visiting room
模型飛行機|もけいひこうき|model plane
模造紙|もぞうし|imitation Japanese vellum
模範囚|もはんしゅう|well-behaved (model) prisoner; trusty (trustee)
猛禽類|もうきんるい|birds of prey (of order Falconiformes or Strigiformes); raptors
木造家屋|もくぞうかおく|wooden house; frame house (building)
木造建築物|もくぞうけんちくぶつ|wooden (timber) building
目的物|もくてきぶつ|object; objective; aim
餅屋|もちや|rice cake shop keeper; rice cake store (shop)
問い合わせ先|といあわせさき|contact information (for inquiries) (e.g. corporate phone number)
問い合わせ先|といあわせさき|reference (e.g. personal reference)
問合せ先|といあわせさき|contact information (for inquiries) (e.g. corporate phone number)
問合せ先|といあわせさき|reference (e.g. personal reference)
問合先|といあわせさき|contact information (for inquiries) (e.g. corporate phone number)
問合先|といあわせさき|reference (e.g. personal reference)
問題領域|もんだいりょういき|problem area
夜行性|やこうせい|nocturnality; nocturnal habits
野球選手|やきゅうせんしゅ|baseball player; ballplayer
野菜炒め|やさいいため|stir-fried vegetables
薬学部|やくがくぶ|pharmaceutical department; college of pharmacy
薬物中毒|やくぶつちゅうどく|medicinal poisoning; chemical poisoning; drug poisoning
薬物中毒|やくぶつちゅうどく|drug addiction
薬理作用|やくりさよう|medicinal action
愉快犯|ゆかいはん|crime committed for fun; criminal who takes delight in people's reaction to his crimes
油圧計|ゆあつけい|oil pressure gauge
輸送機関|ゆそうきかん|(means of) transport
輸送力|ゆそうりょく|carrying power; transportation (carrying) capacity
輸入業者|ゆにゅうぎょうしゃ|importer; import merchant (trader); importing firm
輸入自由化|ゆにゅうじゆうか|liberalization of imports; liberalisation of imports
優勝決定戦|ゆうしょうけっていせん|deciding match (in a competition for a cup (pennant))
優勝候補|ゆうしょうこうほ|favorite (top choice) for the championship (favourite); best bet for the title
優勝戦|ゆうしょうせん|championship tournament; finals
優先事項|ゆうせんじこう|priority matter
優先席|ゆうせんせき|priority seat; courtesy seat; seat provided in trains, buses, etc. for the use of the disabled, young children, the elderly, pregnant women, etc.
