上右|うえみぎ|upper right (corner)
上左|うえひだり|upper left (corner)
下右|したみぎ|lower right (corner)
下左|したひだり|lower left (corner)
けりが付く|けりがつく|to be settled; to be brought to an end
鳧が付く|けりがつく|to be settled; to be brought to an end
けりを付ける|けりをつける|to settle; to finish; to bring to an end
鳧を付ける|けりをつける|to settle; to finish; to bring to an end
割かし|わりかし|comparatively; quite; rather
割りかし|わりかし|comparatively; quite; rather
おばはん||aunt
おばはん||middle-aged lady
通紙|つうし|feeding paper through a device (printer, scanner, etc.)
眉唾|まゆつば|fake; counterfeit
眉つば|まゆつば|fake; counterfeit
やっかむ||to be jealous; to be envious
陸軍大佐|りくぐんたいさ|army colonel
水彩絵具|すいさいえぐ|watercolors; watercolours; watercolor paint; watercolour paint
自治体国際化協会|じちたいこくさいかきょうかい|Council of Local Authorities for International Relations; CLAIR
セフレ||friend with benefits; fuck-buddy; sex friend; someone with whom one is not romantically involved but frequently has sexual relations with anyway
セクフレ||friend with benefits; fuck-buddy; sex friend; someone with whom one is not romantically involved but frequently has sexual relations with anyway
ブロッサム||blossom
ブロッス||broth
ツーショット||photograph of two people, usu. male and female
ツー・ショット||photograph of two people, usu. male and female
胸章|きょうしょう|medal; badge; insignia (worn on the chest)
潤かす|ふやかす|to soak; to steep; to macerate
しょぼい||shabby; dull
しょぼい||gloomy
ショボい||shabby; dull
ショボい||gloomy
しょぼん||downheartedly; dejectedly; dispiritedly; despondently
水アル|すいアル|aluminium hydrate; aluminum hydrate
炭カル|たんカル|calcium carbonate
またね||good-bye; see you later
じゃまたね||good-bye; see you later
要説|ようせつ|outline; summary
無彩色|むさいしょく|neutral colour; neutral color; achromatic (colour, color)
五面体|ごめんたい|pentahedron
たわみ計|たわみけい|deflectometer
撓み計|たわみけい|deflectometer
吊足場|つりあしば|suspended scaffolding
つり足場|つりあしば|suspended scaffolding
泥岩|でいがん|mudstone
でい岩|でいがん|mudstone
法面|のりめん|slope (e.g. of embankment)
のり面|のりめん|slope (e.g. of embankment)
コンシステンシ||consistency
インコンシステンシー||inconsistency
這い上がる|はいあがる|to creep up; to crawl up
這い上る|はいあがる|to creep up; to crawl up
遡河魚|そかぎょ|anadromous fish (fish that migrates upstream, e.g. salmon)
遡河魚|さっかぎょ|anadromous fish (fish that migrates upstream, e.g. salmon)
溯河魚|そかぎょ|anadromous fish (fish that migrates upstream, e.g. salmon)
溯河魚|さっかぎょ|anadromous fish (fish that migrates upstream, e.g. salmon)
澪標|みおつくし|marks in a water channel
澪標|れいひょう|marks in a water channel
泥地|でいち|mud; bog
泥地|どろち|mud; bog
受取書|うけとりしょ|receipt (document)
受取証書|うけとりしょうしょ|receipt (document)
ちょっとそこまで||nowhere in particular; just out for a bit; (euph. for) toilet break
エロい||erotic; pornographic; risque
エロい||eminent; great
晴れがましい|はれがましい|formal; grand; gala
晴れがましく|はれがましく|cheerfully; ceremoniously
直接収容|ちょくせつしゅうよう|dedicated line (e.g. phone service)
直収|ちょくしゅう|dedicated line (e.g. phone service)
歌物|うたもの|an utai (noh chant) piece for recitation
歌物|うたもの|accompanied singing in which the singing is emphasized over the instrumental part (emphasised)
唄物|うたもの|an utai (noh chant) piece for recitation
唄物|うたもの|accompanied singing in which the singing is emphasized over the instrumental part (emphasised)
畳の上で死ぬ|たたみのうえでしぬ|to die a natural death; to die in one's own bed
畳の上の水練|たたみのうえのすいれん|practising swimming on land; dry swimming exercise
キャノン砲|キャノンほう|cannon
ミスる||to make a mistake; to mess up; to make an error; to err
デモる||to demonstrate (e.g. in the streets)
トランジション||transition
滑腔砲|かっこうほう|smooth-bore gun; unrifled gun
着包み|きぐるみ|cartoon-character costume
着ぐるみ|きぐるみ|cartoon-character costume
爆走|ばくそう|roaring noisily around
ダンパ||damper
ダンパ||dance party
ダンパ||dance partner
ダンパー||damper
ダンパー||dance party
ダンパー||dance partner
強電線|きょうでんせん|power line; high current electrical line
弱電線|じゃくでんせん|weak electrical current line (e.g. intercom)
青白きインテリ|あおじろきインテリ|armchair intellectual
カウンターパート||counterpart
ガバナンス||governance
セットバック||set-back
セットポイント||set point (tennis, volleyball, etc.)
セット・ポイント||set point (tennis, volleyball, etc.)
デジタルデバイド||digital divide
デジタルディバイド||digital divide
デジタル・デバイド||digital divide
デジタル・ディバイド||digital divide
ハザードマップ||hazard map
ハザード・マップ||hazard map
パブリックインボルブメント||public involvement
パブリック・インボルブメント||public involvement
ブレークスルー||breakthrough
ブレイクスルー||breakthrough
プレゼンス||presence
モビリティー||mobility
モビリティ||mobility
ユニバーサルデザイン||universal design
ユニバーサル・デザイン||universal design
ロードプライシング||road pricing
ロード・プライシング||road pricing
ピークロードプライシング||peak-load pricing
ピーク・ロード・プライシング||peak-load pricing
青白|あおじろ|blue and white
青白|あおじろ|paleness; pallidness
白っぽい|しろっぽい|whitish
その場しのぎ|そのばしのぎ|stopgap; makeshift; temporary measure
その場凌ぎ|そのばしのぎ|stopgap; makeshift; temporary measure
其の場凌ぎ|そのばしのぎ|stopgap; makeshift; temporary measure
フルコーラス||whole song; complete music
フル・コーラス||whole song; complete music
長虫|ながむし|snake
ヴェロキラプトル||velociraptor (dinosaur)
鎧竜|がいりゅう|ankylosaur (any dinosaur of infraorder Ankylosauria)
間質性|かんしつせい|interstitial
虚血性|きょけつせい|ischemic
麒麟児|きりんじ|child prodigy; wonder child
糞力|くそぢから|extraordinary strength; animal strength; brute force
熊猫|くまねこ|panda
蜘蛛の子を散らす|くものこをちらす|to scatter in all directions (like baby spiders)
剣竜|けんりゅう|stegosaur (any dinosaur of infraorder Stegosauria)
三角竜|さんかくりゅう|triceratops (dinosaur)
四象|ししょう|four images; four symbols; four emblems; four phenomena; four phases
周天|しゅうてん|the full scope of the heavens; 360 degrees; one full revolution of the earth
周天|しゅうてん|twelve years; one full cycle of the Chinese calendar
宿恨|しゅくこん|old grudge; old score
宿恨|しゅっこん|old grudge; old score
尻子玉|しりこだま|mythical ball inside the anus that is sought after by kappa
尻子玉|しりごだま|mythical ball inside the anus that is sought after by kappa
ギ神|ギかみ|Greek mythology
ローマ神|ローマかみ|Roman god; Roman goddess
スティラコサウルス||styracosaurus (dinosaur)
ステカセ||stereo cassette
西語|せいご|Spanish (language)
タスマニアデビル||Tasmanian devil (Sarcophilus harrisii)
タスマニア・デビル||Tasmanian devil (Sarcophilus harrisii)
ディメトロドン||dimetrodon (dinosaur)
トリケラトプス||triceratops (dinosaur)
ネタバレ||spoiler; revealing important plot points of a story; spoiling a story
ネタばれ||spoiler; revealing important plot points of a story; spoiling a story
ねたばれ||spoiler; revealing important plot points of a story; spoiling a story
念動|ねんどう|telekinesis; psychokinesis
撒き菱|まきびし|caltrop (spiked device scattered to maim infantry and horses); calthrop; caltrap
撒菱|まきびし|caltrop (spiked device scattered to maim infantry and horses); calthrop; caltrap
へな猪口|へなちょこ|novice; greenhorn
埴猪口|へなちょこ|novice; greenhorn
ヘナチョコ||novice; greenhorn
翼竜|よくりゅう|pterosaur
雷竜|らいりゅう|brontosaurus; apatosaurus (dinosaur)
ひたひた||lapping (e.g. of waves against the shore)
ひたひた||steadily (advancing); gradually (approaching)
ひたひた||sufficient (of the amount of liquid needed to cover a submerged object); just enough
ひたひた||speedily; promptly; quickly; smoothly
ひたひた||closely; exactly
パキケファロサウルス||pachycephalosaurus
覇王竜|はおうりゅう|Tyrannosaurus rex
和暦|われき|Japanese calendar
和暦|われき|Japanese imperial year
ランファン||lingerie and foundation
隠遁術|いんとんじゅつ|Ninja art of escape
陰忍|いんにん|camouflaged ninja
隠れ身の術|かくれみのじゅつ|Ninja art of camouflage
苦無|くない|ninja throwing knives
苦無|くない|mediaeval farming tool for digging, prying, etc.
下忍|げにん|low-ranking ninja
七方出|しちほうで|seven disguises of the ninja
忍び刀|しのびがたな|Ninja sword
忍び文字|しのびもじ|Ninja script
上忍|じょうにん|Ninja clan master; highest-ranking ninja
中忍|ちゅうにん|ninja commander
遁術|とんじゅつ|Ninja art of escape
遁法|とんぽう|Ninja art of escape
忍刀|にんとう|Ninja sword
抜け忍|ぬけにん|runaway ninja; fugitive ninja
抜忍|ぬけにん|runaway ninja; fugitive ninja
吹き針|ふきばり|Ninja spitting needles
吹針|ふきばり|Ninja spitting needles
万力鎖|まんりきぐさり|Ninja weighted chain weapon
水蜘蛛|みずぐも|water spider (Argyroneta aquatica)
水蜘蛛|みずぐも|ninja water-walking shoes
水グモ|みずグモ|water spider (Argyroneta aquatica)
水グモ|みずグモ|ninja water-walking shoes
ミズグモ||water spider (Argyroneta aquatica)
ミズグモ||ninja water-walking shoes
陽忍|ようにん|ninja working in the open; non-undercover ninja
ソバット||kick-fighting; French boxing
番代|ばんだい|taking turns
番代|ばんだい|relieving the guard
特割|とくわり|special discount
特別割引|とくべつわりびき|special discount
それより||apart from that; other than that; leaving that aside; more importantly; more ... than that; but; however
疑陽性|ぎようせい|pseudo-positive
車高|しゃこう|vehicle height
取扱書|とりあつかいしょ|user's manual; handling instructions
進捗状況|しんちょくじょうきょう|state of progress
キッズルーム||kids' room
キッズ・ルーム||kids' room
キッズ||kids; children
何と言っても|なんといっても|after all is said and done; to say the least
何といっても|なんといっても|after all is said and done; to say the least
ものですから||reason or excuse (nuance of seeking understanding)
からには||now that; since; so long as; because
ことから||from the fact that ...
ことので||from the fact that ...
にしても||even if
にせよ||granted that; even if; even though
せよ||granted that; even if; even though
出張費|しゅっちょうひ|travel expenses
物なら|ものなら|if I (we, etc.) could
物なら|もんなら|if I (we, etc.) could
登山隊|とざんたい|climbing expedition; mountaineering party
意識を失う|いしきをうしなう|to lose consciousness
所為か|せいか|it may be because
温泉地|おんせんち|spa; hot spring
若潮|わかしお|transitional tide between spring and neap tides
中潮|なかしお|half tide (e.g. midway between spring and neap tides)
強いられて|しいられて|under compulsion; by pressure of
寝たきり|ねたきり|bedridden; confined to bed
寝た切り|ねたきり|bedridden; confined to bed
しかない||have no choice
しかない||there is nothing but
しかない||no more than
還元脱脂乳|かんげんだっしにゅう|reconstituted skim milk
耳の不自由|みみのふじゆう|deafness; the deaf
目の不自由|めのふじゆう|blindness; the blind
引き|ひき|pull; patronage; influence
引き|ひき|tug
引き|ひき|discount
帖合|ちょうあい|type of commission system in the book industry in Japan
今すぐ|いますぐ|at once; immediately; right now
今直ぐ|いますぐ|at once; immediately; right now
素っ飛ぶ|すっとぶ|to rush off; to rush away; to vanish
すっ飛ぶ|すっとぶ|to rush off; to rush away; to vanish
素っ|すっ|most (emphasis); much; greatly
数歩|すうほ|several steps
秒進分歩|びょうしんふんぽ|rapid progress; minute-by-minute progress
秒進分歩|びょうしんふんほ|rapid progress; minute-by-minute progress
ユーロ円債|ユーロえんさい|Euro-yen bond
ラバーカップ||plunger (for unblocking sinks, toilets, etc.)
ラバーカップ||rubber cup
ラバー・カップ||plunger (for unblocking sinks, toilets, etc.)
ラバー・カップ||rubber cup
ダイシング||dicing (e.g. cutting up of a microchip wafer)
活じめ|いきじめ|fresh-frozen (e.g. fish); quickly frozen
活きじめ|いきじめ|fresh-frozen (e.g. fish); quickly frozen
お涙頂戴|おなみだちょうだい|tearjerker; sob story; maudlin tale
御涙頂戴|おなみだちょうだい|tearjerker; sob story; maudlin tale
フラマン語|フラマンご|Flemish (language)
フラマン人|フラマンじん|Fleming; Flemish person
お願い申し上げる|おねがいもうしあげる|please
お暑うございます|おあつうございます|it is warm (very polite)
お暑うご座います|おあつうございます|it is warm (very polite)
心配でならない|しんぱいでならない|can't help worrying; besides myself with worry
思えてならない|おもえてならない|cannot help feeling that; cannot help thinking that
では無いか|ではないか|questioning (something)
では無いか|ではないか|let's do (something)
問わず|とわず|regardless of
否でも|いやでも|whether one likes it or not; willy-nilly
相違ない|そういない|without doubt; certain; sure
相違なく|そういなく|certainly; surely
べきではない||should not; must not
結構大変|けっこうたいへん|quite a chore; not that easy; fairly difficult
けっこう大変|けっこうたいへん|quite a chore; not that easy; fairly difficult
どれだけ||how long; how much; to what extent
カウル||cowl
天の助け|てんのたすけ|godsend; gift from providence
黒御影|くろみかげ|black granite
玄昌石|げんしょうせき|type of slate (from Miyagi pref.)
金鵄勲章|きんしくんしょう|The Order of the Golden Kite (Japanese military award)
ソール||sole
ソール||soul
姥貝|うばがい|Sakhalin surf clam (Pseudocardium sachalinense)
雨波貝|うばがい|Sakhalin surf clam (Pseudocardium sachalinense)
ウバガイ||Sakhalin surf clam (Pseudocardium sachalinense)
ホッキ貝|ホッキかい|Sakhalin surf clam (Pseudocardium sachalinense)
北寄貝|ほっきがい|Sakhalin surf clam (Pseudocardium sachalinense)
転び|ころび|turning around; converting
転び|ころび|batter (construction technique)
陽イオン|ようイオン|cation; positive ion
出バン|でバン|unloading goods from a container truck, etc.
デバン||unloading goods from a container truck, etc.
天下無敵|てんかむてき|peerless; unequalled; unequaled
ソフトスキル||good customer skills; good with people; well-spoken
ソフト・スキル||good customer skills; good with people; well-spoken
がつんと言う|がつんという|to tell a person (something) emphatically; to let a person have it
エアキャップ||plastic packing material with air bubbles; bubble wrap
エアキャップ||cap on a tyre valve
エアキャップ||brand of lawn mower
エア・キャップ||plastic packing material with air bubbles; bubble wrap
エア・キャップ||cap on a tyre valve
エア・キャップ||brand of lawn mower
増粘剤|ぞうねんざい|thickener
彼なり|かれなり|his way; peculiar to him
マナーモード||silent profile (in cell phones); silent mode; vibrate mode
マナー・モード||silent profile (in cell phones); silent mode; vibrate mode
旅行会社|りょこうがいしゃ|travel agent; travel agency
安本丹|あんぽんたん|fool; idiot
能天気|のうてんき|optimistic; thoughtless; carefree; insolent
能転気|のうてんき|optimistic; thoughtless; carefree; insolent
脳天気|のうてんき|optimistic; thoughtless; carefree; insolent
ノー天気|ノーてんき|optimistic; thoughtless; carefree; insolent
創生|そうせい|creation; birth
逆玉|ぎゃくたま|man who marries a wealthy or upwardly-mobile woman; (male) gold digger
実行機能|じっこうきのう|executive functioning; function execution
ちゃらんぽらん||blithe; devil-may-care; speaking off-hand; slaphappy; happy-go-lucky
エコノミークラス症候群|エコノミークラスしょうこうぐん|economy class syndrome (occurrence of deep vein thrombosis in air travelers)
突発性発疹|とっぱつせいはっしん|exanthem subitum; Roseola infantum
突発性発しん|とっぱつせいはっしん|exanthem subitum; Roseola infantum
雨天中止|うてんちゅうし|cancelled because of rain; wash out
雨天延期|うてんえんき|postponed because of rain
雨天続き|うてんつづき|long spell of rainy weather
オランダ語|オランダご|Dutch (language)
アトモキセチン||atomoxetine (Strattera)
ウィキペディア||Wikipedia (free online encyclopedia)
波数|はすう|wave number; wavenumber
珍種|ちんしゅ|rare species
リコリス||licorice; liquorice
桁数|けたすう|number of digits or characters
キャロット||carrot
キャロット||calotte (type of hat)
扁桃摘出術|へんとうてきしゅつじゅつ|tonsillectomy
制汗剤|せいかんざい|deodorant
アバンタイトル||material before the opening credits in a film, anime, etc.
アヴァンタイトル||material before the opening credits in a film, anime, etc.
アバン・タイトル||material before the opening credits in a film, anime, etc.
アヴァン・タイトル||material before the opening credits in a film, anime, etc.
粘液便|ねんえきべん|mucous feces; mucous stool
吸い寄せる|すいよせる|to draw in; to attract
吸寄せる|すいよせる|to draw in; to attract
杳として|ようとして|no information; no clue; completely unknown
沓として|ようとして|no information; no clue; completely unknown
大字|だいじ|large character
大字|だいじ|alternative kanji used for numbers
恐れがある|おそれがある|to be in danger of; to be liable to
プリペイド||prepaid (phone, card, etc.)
プリペード||prepaid (phone, card, etc.)
オレオレ詐欺|オレオレさぎ|type of fraud involving phone calls pretending distress
おれおれ詐欺|おれおれさぎ|type of fraud involving phone calls pretending distress
俺俺詐欺|おれおれさぎ|type of fraud involving phone calls pretending distress
俺おれ詐欺|おれおれさぎ|type of fraud involving phone calls pretending distress
おれ俺詐欺|おれおれさぎ|type of fraud involving phone calls pretending distress
リチャージ||recharge
検知|けんち|detection
見知|けんち|detection
正論理|せいろんり|positive logic
デマメール||email spreading rumors and false stories (rumours)
使いすぎ|つかいすぎ|overuse; overload
使い過ぎ|つかいすぎ|overuse; overload
今国会|こんこっかい|current Diet session
ずれ込む|ずれこむ|to drag on; to be delayed
抜きにして|ぬきにして|leaving out; cutting out; dispensing with
言葉に甘える|ことばにあまえる|to accept an offer; to be charmed by someone's kind words and do as he wishes
ことばに甘える|ことばにあまえる|to accept an offer; to be charmed by someone's kind words and do as he wishes
萌え|もえ|sprouting; budding
萌え|もえ|crush (anime, manga term); fascination; infatuation
漢|おとこ|man among men; man's man
漢|かん|China
漢|かん|Han (majority Chinese ethnic group)
漢|かん|man
税込価格|ぜいこみかかく|post-tax price; price including tax; tax-included price
着エロ|ちゃくエロ|non-nude erotica
啓蒙書|けいもうしょ|book for novices; general introduction to a subject
超がつく|ちょうがつく|extremely
超が付く|ちょうがつく|extremely
レコード針|レコードばり|stylus; phonograph needle
代用監獄|だいようかんごく|police custody; police detention; substitute prison
本会|ほんかい|formal meeting (committee, etc.); session
本会|ほんかい|this (the aforementioned, our) association (society, organisation)
感圧接着剤|かんあつせっちゃくざい|pressure-sensitive adhesive
希望に添う|きぼうにそう|to meet someone's requirements; to meet expectations; to go along with what somebody wants
希望に沿う|きぼうにそう|to meet someone's requirements; to meet expectations; to go along with what somebody wants
希望にそう|きぼうにそう|to meet someone's requirements; to meet expectations; to go along with what somebody wants
中心となる|ちゅうしんとなる|to play a central role; to take a leading part
心を込める|こころをこめる|to do wholeheartedly; to put one's heart into something
心をこめる|こころをこめる|to do wholeheartedly; to put one's heart into something
心を籠める|こころをこめる|to do wholeheartedly; to put one's heart into something
しつつある||to be doing; to be in the process of doing
つつある||(with masu stem) to be doing; to be in the process of doing
食べきれない|たべきれない|more than one can eat
食べ切れない|たべきれない|more than one can eat
格助詞|かくじょし|case-marking particle
企画部|きかくぶ|planning department
腹が据わる|はらがすわる|to have guts; to be unwavering in one's resolution
腹がすわる|はらがすわる|to have guts; to be unwavering in one's resolution
淀み|よどみ|stagnation; deposit; sediment; backwater
淀み|よどみ|faltering; hesitation; pause
淀|よどみ|stagnation; deposit; sediment; backwater
淀|よどみ|faltering; hesitation; pause
澱み|よどみ|stagnation; deposit; sediment; backwater
澱み|よどみ|faltering; hesitation; pause
澱|よどみ|stagnation; deposit; sediment; backwater
澱|よどみ|faltering; hesitation; pause
清水器|せいすいき|water purifier
堕ろす|おろす|to abort (an embryo or fetus) (negative nuance)
槽|そう|body (of a biwa)
試用版|しようばん|trial version (e.g. software); evaluation version
眇める|すがめる|to scrutinize; to scrutinise
プリザーブドフラワー||preserved flower
プリザーブド・フラワー||preserved flower
プリザーブド||preserved (e.g. flower)
デリバリーヘルス||prostitution; call girl business
デリバリー・ヘルス||prostitution; call girl business
マヨラー||mayonnaise lover
牙龍|がりゅう|dragon's fang
牙竜|がりゅう|dragon's fang
撓み|たわみ|bend; curvature; deflection
ピーラー||peeler (for peeling a label from its base in a barcode printer)
諸口|しょくち|sundries; miscellaneous (objects)
オークル||ochre; ocher
オーカー||ochre; ocher
イエローオーカー||yellow ochre (ocher)
イエローオークル||yellow ochre (ocher)
イエローオーカ||yellow ochre (ocher)
イエロー・オーカー||yellow ochre (ocher)
イエロー・オークル||yellow ochre (ocher)
イエロー・オーカ||yellow ochre (ocher)
スレ||thread
告る|こくる|to confess (one's love); to propose (marriage); to ask out (on a date)
コクる||to confess (one's love); to propose (marriage); to ask out (on a date)
