統合開発環境|とうごうかいはつかんきょう|Integrated Development Environment
統合開放形ハイパメディア|とうごうかいほうがたハイパメディア|Integrated open hypermedia; IOH
統合漢字|とうごうかんじ|unified Chinese character
統合試験|とうごうしけん|integration test
到達性|とうたつせい|reachability
到着プロセス|とうちゃくプロセス|arrival process
透過なデータ|とうかなデータ|transparent (data)
透過原稿ユニット|とうかげんこうユニット|transparency unit
透過的|とうかてき|transparent
透過的データ|とうかてきデータ|transparent (data)
透視投影|とうしとうえい|perspective projection
透視変換|とうしへんかん|perspective transformation
頭そろえ|あたまそろえ|start-aligned
頭切れ|とうきれ|clipping off the beginning of a speech transmission
頭文字語|かしらもじご|acronym
頭末そろえ|とうまつそろえ|justified
動画コーデック|どうがコーデック|video codec
動画像|どうがぞう|video; moving image
動作フィールド|どうさフィールド|active field
動作ページ|どうさページ|active page
動作モード|どうさモード|operating mode
動作位置|どうさいち|active position
動作可能時間|どうさかのうじかん|operable time; uptime
動作環境|どうさかんきょう|operating environment
動作記述部|どうさきじゅつぶ|action stub
動作行|どうさぎょう|active line
動作指定|どうさしてい|action entry
動作時間|どうさじかん|operating time
動作状況|どうさじょうきょう|run state (of a process)
動作状態|どうさじょうたい|active
動作不能時間|どうさふのうじかん|inoperable time
動作有効期間|どうさゆうこうきかん|regime
動作率|どうさりつ|availability ratio
動作領域|どうさりょういき|active area
動的な帯域割当|どうてきなたいいきわりあて|dynamic bandwidth allocation
動的アドレス変換|どうてきアドレスへんかん|Dynamic Address Translation; DAT
動的アドレス変換機構|どうてきアドレスへんかんきこう|DAT; Dynamic Address Translation
動的ルーチング|どうてきルーチング|dynamic routing
動的ルーティング|どうてきルーティング|dynamic routing
動的解析|どうてきかいせき|dynamic response analysis
動的割振り|どうてきわりふり|dynamic (resource) allocation
動的緩衝法|どうてきかんしょうほう|dynamic buffering
動的記憶装置|どうてききおくそうち|dynamic storage
動的呼出し|どうてきよびだし|dynamic access
動的再配置|どうてきさいはいち|dynamic relocation
動的資源割り振り|どうてきしげんわりふり|dynamic resource allocation
動的資源割振り|どうてきしげんわりふり|dynamic resource allocation
動的装置再構成|どうてきそうちさいこうせい|DDR; Dynamic Device Reconfiguration
動的適合性|どうてきてきごうせい|dynamic conformance
動的適合性要件|どうてきてきごうせいようけん|dynamic conformance requirements
同位エンティティ|どういエンティティ|peer-entities
同位エンティティ認証|どういエンティティにんしょう|peer-entity authentication
同位列|どういれつ|array
同一環境|どういちかんきょう|unified environment; same environment
同一分布|どういつぶんぷ|uniform distribution
同音異義性|どうおんいぎせい|homophony
同格関係|どうかくかんけい|coordinate relation
同期が取れる|どうきがとれる|to be synchronized
同期を取る|どうきをとる|to synchronize
同期データリンク制御|どうきデータリンクせいぎょ|Synchronous Data Link Control; SDLC
同期デジタルハイアラキー|どうきデジタルハイアラキー|Synchronous Digital Hierarchy; SDH
同期ビットストリーム|どうきビットストリーム|synchronous bit stream
同期化|どうきか|synchronization
同期的|どうきてき|synchronous
同期転送モード|どうきてんそうモード|Synchronous Transfer Mode; STM
同期点識別子|どうきてんしきべつし|syncpoint identifier
同期伝送|どうきでんそう|synchronous transmission
同義性|どうぎせい|synonymy; synonymity
同義名|どうぎめい|synonymous name; synonym
同形異義性|どうけいいぎせい|homography
同形同音異義性|どうけいどうおんいぎせい|homonymy; homonymity
同時間|どうじかん|same time (of day)
同種計算機ネットワーク|どうしゅけいさんきネットワーク|homogeneous computer network
同相電圧|どうそうでんあつ|common mode voltage
同相分除去|どうそうぶんじょきょ|common mode rejection
同報|どうほう|broadcast; multi-destination delivery
同報サービス|どうほうサービス|multiple addressing service
同報通信|どうほうつうしん|broadcast communication
同報伝送|どうほうでんそう|broadcast transmission
同曜日|どうようび|same day (of the week)
導通試験|どうつうしけん|continuity test
導入済み|どうにゅうすみ|already installed; already in place
道路交通情報通信システム|どうろこうつうじょうほうつうしんシステム|VICS; Vehicle Information and Communication Systems
匿名ＦＴＰ|とくめいエフティーピー|anonymous FTP
