飛蝗目|ばったもく|Orthoptera
撚翅|ねじればね|strepsipteran
ネジレバネ||strepsipteran
長翅目|ちょうしもく|Mecoptera
原尾類|げんびるい|proturans
行動生態学|こうどうせいたいがく|behavioral ecology; behavioural ecology
カナディアン||Canadian
フレンチカナディアン||French-Canadian
重箱の隅をようじでほじくる|じゅうばこのすみをようじでほじくる|to nitpick; to complain about trifles
義親|ぎしん|parent according to law or convention but not biology; inlaws
花柳|はなやぎ|Hanayagi school of Japanese dancing
能力開発|のうりょくかいはつ|development of potential ability; capacity development
レジャー施設|レジャーしせつ|recreational facility
性風俗関連特殊営業|せいふうぞくかんれんとくしゅえいぎょう|sex establishment (as regulated by a specific Japanese law)
性風俗産業|せいふうぞくさんぎょう|sex entertainment industry
能力開発校|のうりょくかいはつこう|skill development school
障害者職業能力開発校|しょうがいしゃしょくぎょうのうりょくかいはつこう|business skill development school for handicapped people
職業能力開発学校|しょくぎょうのうりょくかいはつがっこう|business development skills school
繰り返し記号|くりかえしきごう|symbol indicating a repeated character
習習|しゅうしゅう|gentle breeze
習々|しゅうしゅう|gentle breeze
エクスキューショナー||executioner
二眼レフカメラ|にがんレフカメラ|twin lens reflex camera
二眼レフ|にがんレフ|twin lens reflex camera
磯撫で|いそなで|mythical shark-like demon sea monster with barbed tail fin, said to live off the coast of Matsuura and other places in Western Japan; Beach Stroker
トリレン||tolylene
剣聖|けんせい|master swordsman
剣石|けんいし|keystone
剣光|けんこう|light emanating from a sword; shimmering of a sword
アタシンチ||my family
綾杉状|あやすぎじょう|zigzag, dogtooth pattern
甑炉|そうろ|furnace (for casting bronze)
併願受験|へいがんじゅけん|taking the extrance exams of multiple schools
併願|へいがん|applying to enter more than one school
許認可|きょにんか|approval and authorization; permits and licences
法的保護|ほうてきほご|legal protection (e.g. of an environment or cultural asset)
振興策|しんこうさく|measures for the promotion of; stimulation measure (for the economy)
表現ジャンル|ひょうげんジャンル|mode of expression
セル画|セルが|animation cel (from an animated movie)
精習|せいしゅう|(careful, diligent, intensive) practice or exercises
直根|ちょっこん|taproot
ぶっ放す|ぶっぱなす|to fire a gun; to let off a gun; to loose off a shell
ブッ放す|ブッぱなす|to fire a gun; to let off a gun; to loose off a shell
打っ放す|ぶっぱなす|to fire a gun; to let off a gun; to loose off a shell
だめんず||good-for-nothing man (as a partner); no-hoper
ダメンズ||good-for-nothing man (as a partner); no-hoper
打ち放す|ぶちはなす|to unsheath a sword; to slay
語らしめる|かたらしめる|to finish telling
今までにも|いままでにも|up until now; as recently as the present
強雨|きょうう|severe rain
景観権|けいかんけん|the right to a view
桜咲く|さくらさく|exam success
サクラ咲く|サクラさく|exam success
桜散る|さくらちる|exam failure
桜散る|さくらちる|cherry blossom blooming; cherry blossom falling
サクラ散る|サクラちる|exam failure
サクラ散る|サクラちる|cherry blossom blooming; cherry blossom falling
自動改札|じどうかいさつ|automatic turnstile (ticket gate)
充実感|じゅうじつかん|sense of fulfillment; sense of completeness; sense of accomplishment; sense of contentment
霧消|むしょう|vanishing like mist
遊戯場|ゆうぎじょう|amusement place
輾転|てんてん|rolling about
輾転|てんてん|tossing and turning (in bed); jactitation; jactation
展転|てんてん|rolling about
展転|てんてん|tossing and turning (in bed); jactitation; jactation
転輾|てんてん|rolling about
転輾|てんてん|tossing and turning (in bed); jactitation; jactation
表題曲|ひょうだいきょく|title song (of a record)
タイトルチューン||title song (of a record)
タイトル・チューン||title song (of a record)
断酒|だんしゅ|abstinence from alcohol
常飲|じょういん|regular drinking; habitual drinking
政策金利|せいさくきんり|policy interest rate
軌道間隔|きどうかんかく|railroad track gauge
虚言症|きょげんしょう|mythomania
プチプライス||low price; affordable price
プチ・プライス||low price; affordable price
プチプラ||low price; affordable price
帰宅困難者|きたくこんなんしゃ|travellers (e.g. commuters, students, etc.) who have difficulty returning home, esp. after a large-scale earthquake
楽屋裏|がくやうら|dressing room; green room; backstage
楽屋裏|がくやうら|inside story; confidential talk; hidden circumstances
ウィケット||wicket (e.g. in cricket)
三柱門|みはしらもん|wicket (e.g. in cricket); castle; stumps
三貴子|みはしらのうずのみこ|the three main Shinto gods: Amaterasu Omikami, Tsukuyomi no Mikoto and Susano-o no Mikoto; three precious children
ヤエナリ||mung bean; green gram
もがな||particle used to indicate the speaker's hope, desire, wish, etc. (e.g. "it would be nice if ...", "I wish there were ...", etc.)
兵法者|へいほうしゃ|tactician; strategist
兵法者|へいほうしゃ|master swordsman
言い間違い|いいまちがい|slip of the tongue; misstatement; verbal slip-up
言い間違え|いいまちがえ|slip of the tongue; misstatement; verbal slip-up
株元|かぶもと|plant foot treatment (stump, root)
参じる|さんじる|to come; to go
参じる|さんじる|to participate
参じる|さんじる|to perform Zen meditation
ヲタ芸|ヲタげい|type of dancing and shouting performed by fans at concerts (usu. idol concerts)
オタ芸|オタげい|type of dancing and shouting performed by fans at concerts (usu. idol concerts)
たりけり||auxiliary verb indicating past condition or occurrence (e.g. "was", "had been", etc.)
なりけり||auxiliary verb indicating the speaker's personal recollection or something they've heard (e.g. "was", "wasn't it?", "is said to have ...", etc.)
畷|なわて|footpath between rice fields
障む|つつむ|to become sick; to be struck by a disaster; to hinder; to be hindered; to run into problems; to have an accident
恙む|つつむ|to become sick; to be struck by a disaster; to hinder; to be hindered; to run into problems; to have an accident
日本泳法|にほんえいほう|traditional Japanese swimming
白絣|しろがすり|white cloth or kimono with black or indigo splash patterns
白飛白|しろがすり|white cloth or kimono with black or indigo splash patterns
鳥影|とりかげ|shadow of a bird; sighting of a bird
鳥影|ちょうえい|shadow of a bird; sighting of a bird
尊む|たっとむ|to value; to prize; to honor; to respect
貴む|たっとむ|to value; to prize; to honor; to respect
ぷっつり||breaking off; snapping off
ぷっつり||suddenly stopping
ぶっつり||breaking off; snapping off
ふっつり||breaking off; snapping off
ふっつり||suddenly stopping
ぷつん||breaking off; snapping off
ふつり||breaking off; snapping off
ふつり||suddenly stopping
ぷつり||breaking off; snapping off
箆蝶鮫|へらちょうざめ|American paddlefish (Polyodon spathula)
ヘラチョウザメ||American paddlefish (Polyodon spathula)
油鮠|あぶらはや|Amur minnow (Phoxinus logowskii steindachneri)
アブラハヤ||Amur minnow (Phoxinus logowskii steindachneri)
月下香|げっかこう|tuberose (Polianthes tuberosa)
作文|さくもん|writing (poetry); composing
破|は|(in gagaku or noh) middle section of a song
オロブロンコ||sweet grapefruit-like citrus fruit; super-grapefruit
見す|めす|to see; to look; to watch
見す|めす|to rule; to govern
看す|めす|to see; to look; to watch
看す|めす|to rule; to govern
召される|めされる|to do
召される|めされる|to eat; to drink
召される|めされる|to put on; to wear
召される|めされる|to buy
召される|めされる|to ride
召される|めされる|to catch (a cold); to take (a bath); to tickle (one's fancy); to put on (years); to commit (seppuku)
召される|めされる|honorific suffix used after the -masu stem of a verb
グミベア||gummi bear; gummy bear
グミ||gummi; gummi candy; gummi drop
胴突き|どうづき|ramming; rammer
胴突|どうづき|ramming; rammer
補法|ほほう|revitalizing treatment that stimulates the organs or the meridians (in Chinese medicine)
補薬|ほやく|adjuvant
補薬|ほやく|revitalizing stimulant (in Chinese medicine)
瀉剤|しゃざい|cathartic; purgative; laxative
瀉薬|しゃやく|cathartic; purgative; laxative
止瀉剤|ししゃざい|antidiarrheal; antidiarrhoeal
呼吸鎖|こきゅうさ|respiratory chain
裏ルート|うらルート|back channel; back route; illegal channel; back door
押し付け|おしつけ|imposition (i.e. of rules, of a decision); compulsion
押しつけ|おしつけ|imposition (i.e. of rules, of a decision); compulsion
再生可能資源|さいせいかのうしげん|renewable resource
