王妃|おうひ|queen
王物|おうもの|king; royalty
王法|おうほう|royal decree
王様|おうさま|king
王さま|おうさま|king
王立|おうりつ|royal
襖|ふすま|fusuma; Japanese sliding screen
鶯|うぐいす|Japanese bush warbler (Horornis diphone); Japanese nightingale
鶯|うぐいす|greenish brown
鶯|うぐいす|having a beautiful voice
鴬|うぐいす|Japanese bush warbler (Horornis diphone); Japanese nightingale
鴬|うぐいす|greenish brown
鴬|うぐいす|having a beautiful voice
ウグイス||Japanese bush warbler (Horornis diphone); Japanese nightingale
ウグイス||greenish brown
ウグイス||having a beautiful voice
鶯色|うぐいすいろ|greenish brown
うぐいす色|うぐいすいろ|greenish brown
鴬色|うぐいすいろ|greenish brown
鴎|かもめ|common gull (Larus canus); mew gull
鴎|かもめ|gull (Laridae spp.); seagull
鴎|かまめ|common gull (Larus canus); mew gull
鴎|かまめ|gull (Laridae spp.); seagull
カモメ||common gull (Larus canus); mew gull
カモメ||gull (Laridae spp.); seagull
黄|き|yellow
黄ばみ|きばみ|yellow tint
黄ばむ|きばむ|to turn yellow; to yellow with age
黄鉛|おうえん|chrome yellow
黄鉛|こうえん|chrome yellow
黄河|こうが|Yellow river (in China)
黄禍|こうか|Yellow Peril
黄花|こうか|chrysanthemum
黄海|こうかい|Yellow Sea
黄褐色|おうかっしょく|yellowish-brown
黄菊|きぎく|yellow chrysanthemum
黄金|おうごん|gold
黄金|こがね|gold
黄金|きがね|gold
黄金|くがね|gold
金|こがね|gold
黄金国|おうごんこく|El Dorado; legendary land of wealth
黄金時代|おうごんじだい|Golden Age
黄金術|おうごんじゅつ|alchemy
黄金色|こがねいろ|golden; gold-colored; gold-coloured; honey-colour
黄金崇拝|おうごんすうはい|mammon worship
黄金世界|おうごんせかい|utopia
黄金万能|おうごんばんのう|the almighty dollar
黄金律|おうごんりつ|The Golden Rule ("do unto others as you would have them do unto you")
黄金率|おうごんりつ|golden mean
黄枯茶|きがらちゃ|bluish yellow
黄口|こうこう|greenhorn; youthfulness and lack of experience
黄口児|こうこうじ|immature youth
黄砂|こうさ|loess; yellow sand; bai; dust from the Yellow River region (in China)
黄沙|こうさ|loess; yellow sand; bai; dust from the Yellow River region (in China)
黄熟|こうじゅく|ripening and turning yellow
黄熟|おうじゅく|ripening and turning yellow
黄梢|こうしょう|spring of yellow buds
黄菖蒲|きしょうぶ|yellow iris
黄色い|きいろい|yellow
黄色い|きいろい|high-pitched (voice); shrill
黄いろい|きいろい|yellow
黄いろい|きいろい|high-pitched (voice); shrill
黄色い声|きいろいこえ|shrill voice
黄色人種|おうしょくじんしゅ|yellow race
黄身|きみ|egg yolk
黄塵|こうじん|dust (in air)
黄水晶|きずいしょう|citrine; yellow quartz
黄水仙|きずいせん|jonquil (Narcissus jonquilla)
黄水仙|きすいせん|jonquil (Narcissus jonquilla)
キズイセン||jonquil (Narcissus jonquilla)
黄雀|こうじゃく|tree sparrow (Passer montanus)
黄泉|こうせん|underground spring
黄泉|こうせん|Hades; hell; underworld
黄泉|よみ|Hades; hell; underworld
黄体|おうたい|corpus luteum
黄体ホルモン|おうたいホルモン|luteal hormone (e.g. progesterone); progestogen; gestagen; progestin
黄鯛|きだい|yellowback sea bream (Dentex tumifrons)
キダイ||yellowback sea bream (Dentex tumifrons)
黄鳥|こうちょう|Japanese bush warbler (Horornis diphone)
黄鳥|こうちょう|black-naped oriole (Oriolus chinensis)
黄鉄鉱|おうてっこう|iron pyrites; fool's gold; pyrite
黄土|おうど|earth; yellow soil; yellow ochre (ocher); loess
黄土|こうど|earth; yellow soil; yellow ochre (ocher); loess
黄土|こうど|Hades; hell; underworld; world of the dead
黄桃|おうとう|yellow peach
黄道光|こうどうこう|zodiacal light
黄道十二宮|こうどうじゅうにきゅう|twelve signs of the zodiac
黄道色|こうどうしょく|brassy yellow
黄道帯|こうどうたい|zodiac
黄道面|こうどうめん|plane of the ecliptic
黄白|こうはく|yellow and white; gold and silver
黄白|こうはく|bribery; corruption
黄白色|おうはくしょく|yellowish-white; pale yellow
黄白色|こうはくしょく|yellowish-white; pale yellow
黄肌|きはだ|yellowfin tuna (Thunnus albacares)
黄肌|きわだ|yellowfin tuna (Thunnus albacares)
キハダ||yellowfin tuna (Thunnus albacares)
キワダ||yellowfin tuna (Thunnus albacares)
黄斑|おうはん|macula; macule; macula lutea; yellow spot
黄表紙|きびょうし|illustrated storybook with yellow covers (Edo period)
黄吻|こうふん|young and inexperienced person
きな粉|きなこ|roasted soybean flour; roasted soy flour
黄粉|きなこ|roasted soybean flour; roasted soy flour
黄な粉|きなこ|roasted soybean flour; roasted soy flour
黄碧玉|こうへきぎょく|yellow jasper; beryl
黄変米|おうへんまい|spoiled rice; spoilt rice
黄味がかった|きみがかった|yellowish; cream-coloured; cream-colored
黄楊|つげ|Japanese box tree (Buxus microphylla var. japonica); Japanese boxwood
柘植|つげ|Japanese box tree (Buxus microphylla var. japonica); Japanese boxwood
ツゲ||Japanese box tree (Buxus microphylla var. japonica); Japanese boxwood
黄緑|きみどり|pea green; yellow-green
黄緑|おうりょく|pea green; yellow-green
黄緑色|おうりょくしょく|yellow-green; pea green
黄燐|おうりん|yellow (white) phosphorus
黄りん|おうりん|yellow (white) phosphorus
黄疸|おうだん|jaundice
岡山県|おかやまけん|Okayama prefecture (Chūgoku area)
岡持ち|おかもち|wooden carrying box
岡焼き|おかやき|jealousy; envy
傍焼き|おかやき|jealousy; envy
岡場所|おかばしょ|red-light district
岡目|おかめ|looking on from the side; looking on by an outsider
傍目|おかめ|looking on from the side; looking on by an outsider
沖|おき|open sea
澳|おき|open sea
沖積|ちゅうせき|alluvial
沖積期|ちゅうせきき|alluvial period
沖積世|ちゅうせきせい|alluvial epoch (i.e. the Holocene epoch)
沖積層|ちゅうせきそう|alluvium; alluvial stratum
沖積土|ちゅうせきど|alluvial soil
沖仲仕|おきなかし|longshoreman; stevedore
沖天|ちゅうてん|rising into the heavens
沖縄|おきなわ|Okinawa (prefecture); region comprising most of Japan's southwestern archipelago (esp. Okinawa Island)
沖縄|おきなわ|Okinawa (city)
沖縄開発庁長官|おきなわかいはつちょうちょうかん|Director General of Okinawa Development Agency
