尾根|おね|(mountain) ridge; spur
尾状|びじょう|tail; caudal
尾状花|びじょうか|catkin
尾長|おなが|azure-winged magpie (Cyanopica cyana)
尾長|おなが|long-tailed
オナガ||azure-winged magpie (Cyanopica cyana)
オナガ||long-tailed
尾部|びぶ|tail; caudal
尾翼|びよく|empennage; tail; tail assembly
微意|びい|small token (of gratitude); my (humble) feelings
微温|びおん|lukewarmness; tepidity
微系数|びけいすう|differential coefficient
微光|びこう|faint light
微行|びこう|traveling incognito; travelling incognito
微細|びさい|minute; micro; detailed; delicate; subtle
微罪|びざい|minor offense; minor offence; misdemeanor; misdemeanour
微視的|びしてき|microscopic
微弱|びじゃく|feeble; faint; weak
微小|びしょう|microscopic
微少|びしょう|infinitesimal
微笑|びしょう|smile
微笑ましい|ほほえましい|pleasant; charming
微笑み|ほほえみ|smile
微笑み|ほおえみ|smile
頬笑み|ほほえみ|smile
頬笑み|ほおえみ|smile
ほほ笑み|ほほえみ|smile
微笑みかける|ほほえみかける|to smile (at someone)
微笑み掛ける|ほほえみかける|to smile (at someone)
微笑む|ほほえむ|to smile
頬笑む|ほほえむ|to smile
ほほ笑む|ほほえむ|to smile
微震|びしん|slight earthquake
微塵|みじん|particle; atom; little piece
微塵|みじん|not at all; not the slightest
微塵|びじん|particle; atom; little piece
微塵|びじん|not at all; not the slightest
微塵子|みじんこ|water flea (Daphnia spp.)
ミジンコ||water flea (Daphnia spp.)
みじん切り|みじんぎり|finely chopped (cooking)
微塵切り|みじんぎり|finely chopped (cooking)
微睡む|まどろむ|to doze (off)
微生物|びせいぶつ|microbe; germ
微生物学|びせいぶつがく|microbiology
微衷|びちゅう|one's innermost thoughts (feelings)
微調整|びちょうせい|minute adjustment; fine tuning
微熱|びねつ|slight fever
微分|びぶん|differential (e.g. calculus)
微分断面積|びぶんだんめんせき|differential cross-section
微分方程式|びぶんほうていしき|differential equation
微妙|びみょう|delicate; subtle; sensitive
微妙|びみょう|difficult; delicate (situation); complicated
微妙|びみょう|doubtful; questionable; dicey; tricky
微妙な情勢|びみょうなじょうせい|subtle, delicate and complicated situation
微粒子|びりゅうし|corpuscle; minute particle; particulate
微量|びりょう|minuscule amount; extremely small quantity
微力|びりょく|poor ability
微禄|びろく|small stipend
微賤|びせん|low rank; humble station; obscurity
微賎|びせん|low rank; humble station; obscurity
枇杷|びわ|loquat (Eriobotrya japonica); Japanese medlar
ビワ||loquat (Eriobotrya japonica); Japanese medlar
