海|うみ|sea, ocean, waters
海面|かいめん|sea level, (surface of) sea
海洋底|かいようてい|ocean floor, sea floor, seabed
藻場|もば|seaweed bed, seaweed forest
魚|さかな|fish
鮫|さめ|shark
海がめ|うみがめ|sea turtle
珊瑚|さんご|coral
海老|えび|prawn, shrimp, lobster, crayfish
海星|ひとで|starfish, sea star, asteroid
貝|かい|shell, shellfish
貝類|かいるい|shellfish
魚介類|ぎょかいるい|marine products, seafood, fish and shellfish
類|るい|type, sort, kind
鮪|まぐろ|Tuna
魬|はまち|young Japanese amberjack, young yellowtail
鯖|さば|mackerel
鯛|たい|sea bream
烏賊|いか|cuttlefish, squid
海藻|かいそう|seaweed
海鷂魚|えい|ray (fish), stingray
海月|くらげ|jellyfish
蟹|かに|crab
海鼠|なまこ|sea cucumber
海馬|かいば|seahorse, sea horse, walrus
竜の落し子|たつのおとしご|seahorse, sea horse
海豹|あざらし|true seal (animal), earless seal
海驢|あしか|eared seal, sea lion
鯨|くじら|whale
海豚|いるか|dolphin
鮭|さけ|salmon
鱒|ます|trout, sea trout
浅蜊|あさり|Manila clam
赤貝|あかがい|blood clam, ark shell
蛸|たこ|octopus
海獺|らっこ|sea otter
鰻|うなぎ|eel
平目|ひらめ|flounder, bastard halibut, olive flounder
鰈|かれい|righteye flounder
