空く|あく|to become unoccupied
込む|こむ|to be crowded
要る|いる|to need
乾く|かわく|to become dry
乱す|みだす|to disturb, to disarrange
乱れる|みだれる|to be disturbed, to become confused
仕える|つかえる|to serve, to work for
備わる|そなわる|to be furnished with
優れる|すぐれる|to excel, to surpass
冷える|ひえる|to grow cold, to get chilly, to cool down
覚める|さめる|to wake, to become sober, to be disillusioned
冷める|さめる|to cool down
向く|むく|to face, to turn toward
倒れる|たおれる|to fall, to collapse
固まる|かたまる|to harden, to solidify, to become firm
埋まる|うまる|to be filled, to be surrounded, to overflow
埋もれる|うもれる|to be buried, to be covered
増す|ます|to increase, to grow
増える|ふえる|to increase, to multiply
減る|へる|to decrease
外れる|はずれる|to deviate
太る|ふとる|to grow fat
始まる|はじまる|to begin
終わる|おわる|to finish, to close
決める|きめる|to decide
