亜|ア|sub-
哀|アイ、あわ-れ、あわ-れむ|pathetic
挨|アイ|push open
愛|アイ|love
曖|アイ|not clear
悪|アク、オ、わる-い|bad
握|アク、にぎ-る|grip
圧|アツ|pressure
扱|あつか-う|handle
宛|あ-てる|allocate
嵐|あらし|storm
安|アン、やす-い|cheap
案|アン|plan
暗|アン、くら-い|dark
以|イ|by means of
衣|イ、ころも|clothes
位|イ、くらい|rank
囲|イ、かこ-む、かこ-う|surround
医|イ|medicine
依|イ、（エ）|reliant
委|イ、ゆだ-ねる|committee
威|イ|intimidate
為|イ|do
畏|イ、おそ-れる|fear
胃|イ|stomach
尉|イ|military officer
異|イ、こと|uncommon
移|イ、うつ-る、うつ-す|shift
萎|イ、な-える|wither
偉|イ、えら-い|admirable
椅|イ|chair
彙|イ|same kind
意|イ|idea
違|イ、ちが-う、ちが-える|differ
維|イ|fiber
慰|イ、なぐさ-める、なぐさ-む|consolation
遺|イ、（ユイ）|bequeath
緯|イ|horizontal
域|イキ|range
育|イク、そだ-つ、そだ-てる、はぐく-む|nurture
一|イチ、イツ、ひと、ひと-つ|one
壱|イチ|one (falsification prevention)
逸|イツ|deviate
茨|（いばら）[6]|thorn
芋|いも|potato
引|イン、ひ-く、ひ-ける|pull
印|イン、しるし|mark
因|イン、よ-る|cause
咽|イン|throat
姻|イン|matrimony
員|イン|member
院|イン|institution
淫|イン、みだ-ら|lewdness
陰|イン、かげ、かげ-る|shade
飲|イン、の-む|drink
隠|イン、かく-す、かく-れる|conceal
韻|イン|rhyme
右|ウ、ユウ、みぎ|right (direction)
宇|ウ|eaves
羽|ウ、は、はね|feather
雨|ウ、あめ、（あま）|rain
唄|（うた）|songs with shamisen
鬱|ウツ|gloom
畝|うね|furrow
浦|うら|bay
運|ウン、はこ-ぶ|carry
雲|ウン、くも|cloud
永|エイ、なが-い|eternity
泳|エイ、およ-ぐ|swim
英|エイ|England
映|エイ、うつ-る、うつ-す、は-える|reflect
栄|エイ、さか-える、は-え、は-える|prosperity
営|エイ、いとな-む|manage
詠|エイ、よ-む|recitation
影|エイ、かげ|shadow
鋭|エイ、するど-い|pointed
衛|エイ|defense
易|エキ、イ、やさ-しい|easy
疫|エキ、（ヤク）|epidemic
益|エキ、（ヤク）|benefit
液|エキ|fluid
駅|エキ|station
悦|エツ|ecstasy
越|エツ、こ-す、こ-える|cross over
謁|エツ|audience
閲|エツ|review
円|エン、まる-い|round, yen
延|エン、の-びる、の-べる、の-ばす|prolong
沿|エン、そ-う|run alongside
炎|エン、ほのお|inflammation
怨|エン、オン|grudge
宴|エン|banquet
媛|エン|princess
援|エン|aid
園|エン、その|garden
煙|エン、けむ-る、けむり、けむ-い|smoke
猿|エン、さる|monkey
遠|エン、（オン）、とお-い|far
鉛|エン、なまり|lead
塩|エン、しお|salt
演|エン|perform
縁|エン、ふち|affinity
艶|エン、つや|glossy
汚|オ、けが-す、けが-れる、けが-らわしい、よご-す、よご-れる、きたな-い|dirty
王|オウ|king
凹|オウ|concave
央|オウ|center
応|オウ、こた-える|respond
往|オウ|outward journey
押|オウ、お-す、お-さえる|push
旺|オウ|flourishing
欧|オウ|Europe
殴|オウ、なぐ-る|assault
桜|オウ、さくら|cherry tree
翁|オウ|venerable old man
奥|オウ、おく|heart
横|オウ、よこ|side
岡|（おか）[6]|hill
屋|オク、や|roof
億|オク|hundred million
憶|オク|recollection
臆|オク|timidity
虞|おそれ|uneasiness
乙|オツ|the latter
俺|おれ|I, we
卸|おろ-す、おろし|wholesale
音|オン、イン、おと、ね|sound
恩|オン|grace
温|オン、あたた-か、あたた-かい、あたた-まる、あたた-める|warm
穏|オン、おだ-やか|calm
下|カ、ゲ、した、しも、もと、さ-げる、さ-がる、くだ-る、くだ-す、くだ-さる、お-ろす、お-りる|below
化|カ、ケ、ば-ける、ば-かす|change
火|カ、ひ、（ほ）|fire
加|カ、くわ-える、くわ-わる|add
可|カ|possible
仮|カ、（ケ）、かり|temporary
何|カ、なに、（なん）|what
花|カ、はな|flower
佳|カ|excellent
価|カ、あたい|value
果|カ、は-たす、は-てる、は-て|fruit
河|カ、かわ|river
苛|カ|torment
科|カ|section
架|カ、か-ける、か-かる|rack
夏|カ、（ゲ）、なつ|summer
家|カ、ケ、いえ、や|house
荷|カ、に|luggage
華|カ、（ケ）、はな|splendor
菓|カ|confectionery
貨|カ|freight
渦|カ、うず|whirlpool
過|カ、す-ぎる、す-ごす、あやま-つ、あやま-ち|go beyond
嫁|カ、よめ、とつ-ぐ|marry into
暇|カ、ひま|spare time
禍|カ|calamity
